cpu_id,type,num,tid,inc
 3 , 2, 0, 41, 4 
 2 , 2, 0, 41, 4 
 3 , 2, 0, 41, 4 
 3 , 2, 0, 41, 4 
 1 , 2, 0, 41, 4 
 0 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 3 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 3 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 3 , 2, 0, 42, 4 
 2 , 2, 0, 42, 4 
 3 , 2, 0, 42, 4 
 2 , 2, 0, 42, 4 
 2 , 2, 0, 42, 4 
 1 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 1 , 0, 0, 0, 0 
 3 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 0 , 0, 0, 0, 0 
 3 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 0, 0, 0, 0 
 2 , 8, 4295, 1, 0 
 1 , 8, 4295, 2, 0 
 0 , 8, 4295, 2, 0 
 3 , 8, 4295, 2, 0 
 0 , 8, 4295, 2, 0 
 1 , 8, 4295, 2, 0 
 1 , 8, 4295, 3, 0 
 0 , 8, 4295, 3, 0 
 3 , 8, 4295, 3, 0 
 2 , 8, 4295, 4, 0 
 2 , 8, 4295, 4, 0 
 2 , 8, 4295, 4, 0 
 0 , 2, 0, 43, 4 
 2 , 2, 0, 43, 4 
 2 , 2, 0, 43, 4 
 0 , 8, 4295, 3, 0 
 0 , 8, 4295, 3, 0 
 2 , 8, 4295, 4, 0 
 0 , 8, 4295, 4, 0 
 1 , 2, 0, 43, 4 
 1 , 2, 0, 43, 4 
 2 , 8, 4295, 5, 0 
 2 , 8, 4295, 5, 0 
 0 , 8, 4295, 5, 0 
 0 , 8, 4295, 6, 0 
 2 , 8, 4295, 6, 0 
 0 , 8, 4295, 6, 0 
 2 , 8, 4295, 7, 0 
 1 , 8, 4295, 7, 0 
 0 , 8, 4295, 7, 0 
